"","studyName","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","speciesMatched","family","pft","growingCondition","status","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","h.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","mean_annual_precipitation"
"1","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,36,NA,NA,0.009097259,NA,NA,0.000754767,NA,NA,NA,NA,NA,0.011689856,NA,3.017183036,NA,13.41,5.9,NA,0.121999946440396,1.3,1.95999917222924,7.51,NA,NA,NA,NA,28.113,NA,NA,NA,NA,2.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"2","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,40,NA,NA,0.018013877,NA,NA,0.004417861,NA,NA,NA,NA,NA,0.02835285,NA,5.810684864,NA,15.85,7.1,NA,0.189999920594574,1.3,2.7199988512569,8.75,NA,NA,NA,NA,82.198,NA,NA,NA,NA,8.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"3","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,36,NA,NA,0.022503406,NA,NA,0.001963494,NA,NA,NA,NA,NA,0.029103886,NA,7.0685775,NA,15.95,6,NA,0.19249991833937,1.3,2.99999873300394,9.95,NA,NA,NA,NA,93.806,NA,NA,NA,NA,13.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"4","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,32,NA,NA,0.006047561,NA,NA,0.000314159,NA,NA,NA,NA,NA,0.008171276,NA,2.061197199,NA,12,6,NA,0.101999959481097,1.3,1.61999931582212,6,2.026,NA,NA,NA,24.201,26.227,2.021,NA,NA,0.695,26.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"5","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,37,NA,NA,0.014566178,NA,NA,0.002290219,NA,NA,NA,NA,NA,0.021124051,NA,5.3092871,NA,14.3,5.8,NA,0.163999930116456,1.3,2.59999890193674,8.5,5.739,NA,NA,NA,59.648,65.387,9.553,NA,NA,5.363,70.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"6","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,38,NA,NA,0.026646181,NA,NA,0.003525649,NA,NA,NA,NA,NA,0.033491117,NA,6.1575164,NA,17.4,7.3,NA,0.206499914193086,1.3,2.79999881747034,10.1,8.767,NA,NA,NA,120.47,129.237,15.327,NA,NA,21.852,151.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"7","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,25,NA,NA,0.00203202,NA,NA,0.000132732,NA,NA,NA,NA,NA,0.002507185,NA,1.410259751,NA,8.3,4.4,NA,0.0564999742297891,1.3,1.33999943407509,3.9,NA,NA,NA,NA,5.391,NA,NA,NA,NA,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"8","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,23,NA,NA,0.004536456,NA,NA,0,NA,NA,NA,NA,NA,0.005152993,NA,1.960666319,NA,11.3,5.5,NA,0.080999965810755,1.3,1.57999933271541,5.8,NA,NA,NA,NA,14.555,NA,NA,NA,NA,1.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"9","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,29,NA,NA,0.018641606,NA,NA,0.00159043,NA,NA,NA,NA,NA,0.024884534,NA,2.601550679,NA,11.9,4.6,NA,0.177999923430058,1.3,1.81999923135572,7.3,NA,NA,NA,NA,59.733,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"10","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,24,NA,NA,0.000857654,NA,NA,5.03e-05,NA,NA,NA,NA,NA,0.00119459,NA,1.5393791,NA,5.4,2.2,NA,0.0389999900992959,1.3,1.39999940873517,3.2,0.081,NA,NA,NA,1.715,1.796,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
